Organization Name,Category,Description,GSoC Page,Interested,Notes
Apache DataFusion,,Foundational library for DBs and compute engines,https://summerofcode.withgoogle.com/programs/2025/organizations/apache-datafusion,No,
AnkiDroid,,AnkiDroid makes remembering things easy,https://summerofcode.withgoogle.com/programs/2025/organizations/ankidroid,No,
API Dash,,Next-gen Open Source AI powered API DevTool,https://summerofcode.withgoogle.com/programs/2025/organizations/api-dash,No,
Accord Project,,Open source software for smart legal contracts,https://summerofcode.withgoogle.com/programs/2025/organizations/accord-project,No,
AboutCode,,"Scan code for origin, license and vulnerabilities",https://summerofcode.withgoogle.com/programs/2025/organizations/aboutcode,No,
AFLplusplus,,State of the art fuzzing for better security,https://summerofcode.withgoogle.com/programs/2025/organizations/aflplusplus,No,
52°North Spatial Information Research GmbH,,Innovative ideas & technologies in geoinformatics,https://summerofcode.withgoogle.com/programs/2025/organizations/52north-spatial-information-research-gmbh,No,
AOSSIE,,Australian Umbrella Org for Open-Source Projects,https://summerofcode.withgoogle.com/programs/2025/organizations/aossie,No,
Apache Software Foundation,,Open source software to the public free of charge,https://summerofcode.withgoogle.com/programs/2025/organizations/apache-software-foundation,No,
Alaska,,"Many Traditions, One Alaska",https://summerofcode.withgoogle.com/programs/2025/organizations/alaska,No,
Blender Foundation,,The Freedom to Create,https://summerofcode.withgoogle.com/programs/2025/organizations/blender-foundation,No,
AsyncAPI,,Building the future of Event-Driven Architectures,https://summerofcode.withgoogle.com/programs/2025/organizations/asyncapi,No,
cBioPortal for Cancer Genomics,,Aid discovery in complex cancer genomics data,https://summerofcode.withgoogle.com/programs/2025/organizations/cbioportal-for-cancer-genomics,No,
CERN-HSF,,Umbrella for Particle Physics-related projects,https://summerofcode.withgoogle.com/programs/2025/organizations/cern-hsf,No,
Center for Translational Data Science,,Develop translational data science.,https://summerofcode.withgoogle.com/programs/2025/organizations/center-for-translational-data-science,No,
http://BeagleBoard.org,,Open hardware computing for educators and makers,https://summerofcode.withgoogle.com/programs/2025/organizations/beagleboardorg,No,
ArduPilot,,World's most advanced autonomous vehicle software,https://summerofcode.withgoogle.com/programs/2025/organizations/ardupilot,No,
Ceph,,The Future of Storage,https://summerofcode.withgoogle.com/programs/2025/organizations/ceph,No,
CCExtractor Development,,"TV, Rust, Flutter, Linux, VR and C. In any order.",https://summerofcode.withgoogle.com/programs/2025/organizations/ccextractor-development,No,
BRL-CAD,,3D CAD & other computer-aided tech (CAx),https://summerofcode.withgoogle.com/programs/2025/organizations/brl-cad,No,
Chromium,,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2025/organizations/chromium-lj,No,
checkstyle,,Helps to adheres of Java coding standard,https://summerofcode.withgoogle.com/programs/2025/organizations/checkstyle,No,
CHAOSS,,Community Health Analytics Open Source Software,https://summerofcode.withgoogle.com/programs/2025/organizations/chaoss,No,
CRIU,,Chekpoint/Restore for Linux tasks and containers,https://summerofcode.withgoogle.com/programs/2025/organizations/criu,No,
D Language Foundation,,"Write fast, read fast, and run fast.",https://summerofcode.withgoogle.com/programs/2025/organizations/d-language-foundation,No,
http://CircuitVerse.org,,Build and learn logic circuits in the cloud!,https://summerofcode.withgoogle.com/programs/2025/organizations/circuitverseorg,No,
CGAL Project,,C++ library of computational geometry,https://summerofcode.withgoogle.com/programs/2025/organizations/cgal-project,No,
CNCF,,Building sustainable ecosystems for cloud native,https://summerofcode.withgoogle.com/programs/2025/organizations/cncf,No,
CloudCV,,Building platforms for reproducible AI Research,https://summerofcode.withgoogle.com/programs/2025/organizations/cloudcv,No,
Checker Framework,,Prevent programming errors via simple verification,https://summerofcode.withgoogle.com/programs/2025/organizations/checker-framework,No,
DeepChem,,Democratize AI for drug discovery.,https://summerofcode.withgoogle.com/programs/2025/organizations/deepchem,No,
Dart,,Dart is a client language for apps on any platform,https://summerofcode.withgoogle.com/programs/2025/organizations/dart,No,
Drupal Association,,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2025/organizations/drupal-association,No,
Django Software Foundation,,Web framework for perfectionists with deadlines,https://summerofcode.withgoogle.com/programs/2025/organizations/django-software-foundation-8o,No,
Eclipse Foundation,,The Global Open Source Foundation,https://summerofcode.withgoogle.com/programs/2025/organizations/eclipse-foundation,No,
Data for the Common Good,,Connect. Share. Discover.,https://summerofcode.withgoogle.com/programs/2025/organizations/data-for-the-common-good,No,
dora-rs,,Simplify robotic apps with low latency & distributed dataflow,https://summerofcode.withgoogle.com/programs/2025/organizations/dora-rs-tb,No,
"Department of Biomedical Informatics, Emory University",,Biomedical research to advance healthcare,https://summerofcode.withgoogle.com/programs/2025/organizations/department-of-biomedical-informatics-emory-university,No,
DBpedia,,Global and Unified Access to Knowledge Graphs.,https://summerofcode.withgoogle.com/programs/2025/organizations/dbpedia,No,
