Question / Topic,Asked Count,Company,Date Asked,Difficulty,Is Premium,Notes,Round Type,Source,Frequency Bucket,Platform,Topic
3526. Range XOR Queries with Subarray Reversals,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3520. Minimum Threshold for Inversion Pairs Count,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3555. Smallest Subarray to Sort in Every Sliding Window,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3511. Make a Positive Array,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3506. Find Time Required to Eliminate Bacterial Strains,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3565. Sequential Grid Path Cover,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3549. Multiply Two Polynomials,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3496. Maximize Score After Pair Deletions,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3540. Minimum Time to Visit All Houses,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3535. Unit Conversion II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3460. Longest Common Prefix After at Most One Removal,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3431. Minimum Unlocked Indices to Sort Nums,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3437. Permutations III,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3416. Subsequences with a Unique Middle Mode II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3466. Maximum Coin Collection,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3481. Apply Substitutions,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3491. Phone Number Prefix,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3450. Maximum Students on a Single Bench,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3476. Maximize Profit from Task Assignment,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3422. Minimum Operations to Make Subarray Elements Equal,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3391. Design a 3D Binary Matrix with Efficient Layer Tracking,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3390. Longest Team Pass Streak,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3400. Maximum Number of Matching Indices After Right Shifts,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3406. Find the Lexicographically Largest String From the Box II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3415. Find Products with Three Consecutive Digits,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3401. Find Circular Gift Exchange Chains,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3385. Minimum Time to Break Locks II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3383. Minimum Runes to Add to Cast Spell,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3384. Team Dominance by Pass Success,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3369. Design an Array Statistics Tracker,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3329. Count Substrings With K-Frequency Characters II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3358. Books with NULL Ratings,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3368. First Letter Capitalization,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3338. Second Highest Salary II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3353. Minimum Total Operations,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3344. Maximum Sized Array,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3339. Find the Number of K-Even Arrays,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3359. Find Sorted Submatrices With Maximum Element at Most K,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3328. Find Cities in Each State II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3323. Minimize Connected Groups by Inserting Interval,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
,,,,,No,,,,,,
3269. Constructing Two Increasing Arrays,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3308. Find Top Performing Driver,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3278. Find Candidates for Data Scientist Position II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3313. Find the Last Marked Nodes in Tree,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3294. Convert Doubly Linked List to Array II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3322. Premier League Table Ranking III,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3299. Sum of Consecutive Subsequences,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3279. Maximum Total Area Occupied by Pistons,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3284. Sum of Consecutive Subarrays,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3293. Calculate Product Final Price,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3252. Premier League Table Ranking II,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3247. Number of Subsequences with Odd Sum,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3237. Alt and Tab Simulation,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3236. CEO Subordinate Hierarchy,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3268. Find Overlapping Shifts II,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
3253. Construct String with Minimum Cost (Easy),,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
1513. Number of Substrings With Only 1s,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3263. Convert Doubly Linked List to Array I,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
3262. Find Overlapping Shifts,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
3246. Premier League Table Ranking,,,,Easy,Yes,,,LeetCode Premium,,LeetCode,
2445. Number of Nodes With Value One,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2403. Minimum Time to Kill All Monsters,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
2431. Maximize Total Tastiness of Purchased Fruits,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2464. Minimum Subarrays in a Valid Split,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2450. Number of Distinct Binary Strings After Applying Operations,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2417. Closest Fair Integer,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2436. Minimum Split Into Subarrays With GCD Greater Than One,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2459. Sort Array by Moving Items to Empty Space,,,,Hard,Yes,,,LeetCode Premium,,LeetCode,
2422. Merge Operations to Turn Array Into a Palindrome,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
2408. Design SQL,,,,Medium,Yes,,,LeetCode Premium,,LeetCode,
