Question / Topic,Asked Count,Company,Date Asked,Difficulty,Frequency Bucket,Is Premium,Notes,Platform,Round Type,Source,Topic
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
288. Unique Word Abbreviation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
527. Word Abbreviation,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
588. Design In-Memory File System,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
487. Max Consecutive Ones II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
711. Number of Distinct Islands II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
362. Design Hit Counter,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
353. Design Snake Game,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1055. Shortest Way to Form String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
276. Paint Fence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
505. The Maze II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1676. Lowest Common Ancestor of a Binary Tree IV,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1607. Sellers With No Sales,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
3009. Maximum Number of Intersections on the Chart,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
2655. Find Maximal Uncovered Ranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1485. Clone Binary Tree With Random Pointer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1730. Shortest Path to Get Food,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
340. Longest Substring with At Most K Distinct Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1062. Longest Repeating Substring,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
359. Logger Rate Limiter,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
428. Serialize and Deserialize N-ary Tree,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
305. Number of Islands II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
568. Maximum Vacation Days,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
772. Basic Calculator III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
694. Number of Distinct Islands,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1429. First Unique Number,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1506. Find Root of N-Ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
364. Nested List Weight Sum II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1166. Design File System,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
267. Palindrome Permutation II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
716. Max Stack,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1229. Meeting Scheduler,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
510. Inorder Successor in BST II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
727. Minimum Window Subsequence,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
296. Best Meeting Point,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
616. Add Bold Tag in String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1245. Tree Diameter,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
723. Candy Crush,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
